ID INDEC,DNE_ID,HASC_ID,IGN_ID,SIDIF_JUR_ID,SIDIF_SJUR_ID,TIPO,AKA,CABECERA,SUPERFICIE,LAT,LONG,Jurisdiccion Corregida,Poblacion_Densidad_2010,Poblacion_Total_2010,Poblacion_Varones_2010,Poblacion_Mujeres_2010,Provincia Corregida,Poblacion_Analfabetos_2010,Poblacion_Alfabetos_2010,Hogares_Total_2010,Promedio_analfabetos
22036,D06021,AR.CC.DC,484,22,36,DEPARTAMENTO,Doce de Octubre,GENERAL PINEDO,268685133282000000000,-27.336337353169500,-61.47378071034820,12 De Octubre,8.60,22281,11256,11025,Chaco,1358,16536,6021,"6,09"
22126,D06002,AR.CC.PM,482,22,126,DEPARTAMENTO,Primero de Mayo,MARGARITA BELEN,139781114799000000000,-27.169161254721900,-58.95954882334680,1º De Mayo,5.50,10322,5151,5171,Chaco,368,8088,2954,"3,57"
22039,D06022,AR.CC.DA,475,22,39,DEPARTAMENTO,Dos de Abril,HERMOSO CAMPO,141489846589000000000,-27.6219112868488,-61.32952018773050,2 De Abril,4.70,7432,3738,3694,Chaco,474,5641,2121,"6,38"
6854,D02121,AR.BA.VM,108,6,854,PARTIDO,Veinticinco de Mayo,25 DE MAYO,474923044839000000000,-35.52651132257200,-60.23015765659290,25 De Mayo,7.50,35842,17340,18502,Buenos Aires,558,29698,12416,"1,56"
22168,D06015,AR.CC.VM,469,22,168,DEPARTAMENTO,Veinticinco de Mayo,MACHAGAI,222913425345000000000,-26.81902980091550,-60.01876938522030,25 De Mayo,12.40,29215,14691,14524,Chaco,1547,21092,7532,"5,30"
54119,D14011,AR.MN.VM,5,54,119,DEPARTAMENTO,Veinticinco de Mayo,ALBA POSSE,162009903574000000000,-27.37647497841860,-54.63508603505520,25 De Mayo,16.90,27754,14237,13517,Misiones,1224,20444,7529,"4,41"
62091,D16006,AR.RN.VM,411,62,91,DEPARTAMENTO,Veinticinco de Mayo,MAQUINCHAO,2816048151690000000000,-41.13294696834990,-68.90636029950620,25 De Mayo,0.60,15743,8060,7683,Río Negro,1257,11577,4673,"7,98"
70126,D18014,AR.SJ.VM,282,70,126,DEPARTAMENTO,Veinticinco de Mayo,VILLA SANTA ROSA,40460663672000000000,-31.978890552768600,-67.88353903453130,25 De Mayo,3.80,17119,8722,8397,San Juan,713,12205,3973,"4,16"
6588,D02083,AR.BA.NJ,109,6,588,PARTIDO,Nueve de Julio,9 DE JULIO,428576088078000000000,-35.481190578319500,-60.97511572959680,9 De Julio,11.30,47722,23140,24582,Buenos Aires,476,39697,16308,"1,00"
22105,D06019,AR.CC.NJ,474,22,105,DEPARTAMENTO,Nueve de Julio,LAS BRENAS,230838879332000000000,-26.94552448490690,-61.26528976619270,9 De Julio,13.60,28555,14150,14405,Chaco,1481,21700,7798,"5,19"
62049,D16005,AR.RN.NJ,420,62,49,DEPARTAMENTO,Nueve de Julio,SIERRA COLORADA,2416979434310000000000,-40.92543236647140,-67.4574784322856,9 De Julio,0.10,3475,1862,1613,Río Negro,305,2578,1123,"8,78"
70063,D18007,AR.SJ.NU,275,70,63,DEPARTAMENTO,Nueve de Julio,9 DE JULIO,1587379376700000000,-31.63959694764760,-68.38965842323810,9 De Julio,50.30,9307,4627,4680,San Juan,257,6945,2221,"2,76"
