Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou maisTotal,Pessoas de 10 anos ou maisUrbana,Pessoas de 10 anos ou maisRural,Pessoas de 10 anos ou maisAlfabetizadasTotal,Pessoas de 10 anos ou maisAlfabetizadasUrbana,Pessoas de 10 anos ou maisAlfabetizadasRural
Rondônia,1.294.647,953.328,341.319,1.191.857,893.485,298.372
Acre,574.036,426.344,147.692,486.817,381.187,105.63
Amazonas,2.728.401,2.200.371,528.03,2.466.370,2.061.183,405.187
Roraima,353.509,276.582,76.927,319.225,259.864,59.361
Pará,6.062.818,4.237.221,1.825.597,5.381.482,3.912.813,1.468.669
Amapá,526.897,476.934,49.963,485.313,444.388,40.925
Tocantins,1.129.733,894.078,235.655,995.428,809.793,185.635
Maranhão,5.265.740,3.384.746,1.880.994,4.248.868,2.905.172,1.343.696
Piauí,2.598.238,1.725.684,872.554,2.048.929,1.467.412,581.517
Ceará,7.111.438,5.368.415,1.743.023,5.888.721,4.661.888,1.226.833
Rio Grande do Norte,2.675.748,2.095.710,580.038,2.210.546,1.801.920,408.626
Paraíba,3.162.340,2.393.702,768.638,2.523.476,2.000.844,522.632
Pernambuco,7.375.210,5.957.650,1.417.560,6.140.715,5.161.980,978.735
Alagoas,2.548.296,1.893.414,654.882,1.974.406,1.547.814,426.592
Sergipe,1.719.966,1.275.218,444.748,1.427.880,1.117.586,310.294
Bahia,11.766.373,8.535.451,3.230.922,9.954.583,7.612.309,2.342.274
Minas Gerais,16.891.469,14.445.969,2.445.500,15.597.180,13.552.048,2.045.132
Espírito Santo,3.005.616,2.510.304,495.312,2.779.576,2.352.946,426.63
Rio de Janeiro,13.909.323,13.461.341,447.982,13.339.525,12.948.908,390.617
São Paulo,35.726.194,34.288.585,1.437.609,34.263.297,32.945.026,1.318.271
Paraná,8.962.097,7.656.660,1.305.437,8.444.307,7.265.766,1.178.541
Santa Catarina,5.405.906,4.543.285,862.621,5.197.162,4.392.728,804.434
Rio Grande do Sul,9.326.208,7.925.533,1.400.675,8.930.172,7.638.534,1.291.638
Mato Grosso do Sul,2.059.399,1.774.029,285.37,1.914.152,1.664.945,249.207
Mato Grosso,2.537.090,2.083.420,453.67,2.338.505,1.946.720,391.785
Goiás,5.093.197,4.597.636,495.561,4.720.367,4.294.583,425.784
Distrito Federal,2.180.376,2.107.751,72.625,2.109.323,2.043.061,66.262
